project,project_type,client,start_date,deadline,delay_days,payment_status,resignations,risk_score,risk_level,budget,spent,completion,team_size
Cloud Security Enhancement,Infrastructure,CloudTech Inc,2025-02-15,2025-08-20,8,On Time,0,30,Low,250000,180000,60,4
Digital Transformation,Software Development,BankingCorp,2024-09-01,2025-06-15,12,Late,2,55,Medium,800000,650000,80,8
Cybersecurity Audit,Consulting,InsurancePro,2025-01-10,2025-04-10,5,On Time,1,20,Low,120000,90000,90,3
AI-Powered CRM,Software Development,RetailMax,2025-03-01,2025-10-01,10,Late,1,48,Medium,350000,280000,40,5
5G Network Expansion,Infrastructure,TelecomPlus,2024-11-01,2025-07-01,15,Late,0,60,Medium,1200000,1000000,85,10
Healthcare Data Analytics,Software Development,MediCare Systems,2025-02-01,2025-09-01,9,On Time,2,50,Medium,450000,380000,65,6
Quantum Computing Research,Research,TechFrontiers,2025-01-01,2026-01-01,0,On Time,1,80,High,1500000,800000,20,9
Smart Home Automation,Software Development,HomeTech Inc,2025-04-01,2025-11-01,6,On Time,0,35,Low,200000,150000,50,4
Financial Risk Management,Software Development,FinancePro,2024-10-15,2025-05-15,11,Late,3,70,High,500000,450000,75,7
Edge Computing Deployment,Infrastructure,DataFlow Inc,2025-03-15,2025-09-15,14,Late,1,65,Medium,400000,350000,55,5
